幻	1
幼	1
幽	1
幾	1
庁	1
広	1
床	1
序	1
底	1
店	1
府	1
度	1
座	1
庫	1
庭	1
庶	1
康	1
庸	1
廃	1
廉	1
廊	1
延	1
廷	1
建	1
弁	1
弄	1
弊	1
式	1
弐	1
弓	1
弔	1
引	1
弟	1
弥	1
弦	1
弧	1
弱	1
張	1
強	1
弾	1
当	1
彙	1
形	1
彩	1
彫	1
彰	1
影	1
役	1
彼	1
往	1
征	1
径	1
待	1
律	1
後	1
徐	1
徒	1
従	1
得	1
御	1
復	1
循	1
微	1
徳	1
徴	1
徹	1
心	1
必	1
忌	1
忍	1
志	1
忘	1
忙	1
応	1
忠	1
快	1
念	1
怒	1
怖	1
思	1
怠	1
急	1
性	1
怨	1
怪	1
恋	1
恐	1
恒	1
恣	1
恥	1
恨	1
恩	1
恭	1
息	1
恵	1
悔	1
悟	1
悠	1
患	1
悦	1
悩	1
悪	1
悲	1
悼	1
情	1
惑	1
惜	1
惧	1
惨	1
惰	1
想	1
愁	1
愉	1
意	1
愚	1
愛	1
感	1
慄	1
慈	1
態	1
慌	1
慎	1
慕	1
慢	1
慣	1
慨	1
慮	1
慰	1
慶	1
憂	1
憎	1
憤	1
憧	1
憩	1
憬	1
憲	1
憶	1
憾	1
懇	1
懐	1
懲	1
懸	1
成	1
我	1
戒	1
戚	1
戦	1
戯	1
戴	1
戸	1
戻	1
房	1
所	1
扇	1
扉	1
手	1
才	1
打	1
払	1
扱	1
扶	1
批	1
承	1
技	1
抄	1
把	1
抑	1
投	1
抗	1
折	1
抜	1
択	1
披	1
抱	1
抵	1
抹	1
押	1
抽	1
担	1
拉	1
拍	1
拐	1
拒	1
拓	1
拘	1
拙	1
招	1
拝	1
拠	1
拡	1
括	1
拭	1
拳	1
拶	1
拷	1
拾	1
持	1
指	1
挑	1
挙	1
挟	1
挨	1
挫	1
振	1
挿	1
捉	1
捕	1
捗	1
捜	1
捨	1
据	1
捻	1
掃	1
授	1
掌	1
排	1
掘	1
掛	1
採	1
探	1
接	1
控	1
推	1
措	1
掲	1
描	1
提	1
揚	1
換	1
握	1
揮	1
援	1
揺	1
損	1
搬	1
搭	1
携	1
搾	1
摂	1
摘	1
摩	1
摯	1
撃	1
撤	1
撮	1
撲	1
擁	1
操	1
擦	1
擬	1
支	1
改	1
攻	1
放	1
政	1
故	1
敏	1
救	1
敗	1
教	1
敢	1
散	1
敬	1
数	1
整	1
敵	1
敷	1
文	1
斉	1
斎	1
斑	1
斗	1
料	1
斜	1
斤	1
斥	1
斬	1
断	1
新	1
方	1
施	1
旅	1
旋	1
族	1
旗	1
既	1
日	1
旦	1
旧	1
旨	1
早	1
旬	1
旺	1
昆	1
昇	1
明	1
易	1
昔	1
星	1
映	1
春	1
昧	1
昨	1
昭	1
是	1
昼	1
時	1
晩	1
普	1
景	1
晴	1
晶	1
暁	1
暇	1
暑	1
暖	1
暗	1
暦	1
暫	1
暮	1
暴	1
曇	1
曖	1
曜	1
曲	1
更	1
書	1
曹	1
曽	1
替	1
最	1
月	1
有	1
服	1
朕	1
朗	1
望	1
朝	1
期	1
木	1
未	1
末	1
本	1
札	1
朱	1
朴	1
机	1
朽	1
杉	1
材	1
村	1
束	1
条	1
来	1
杯	1
東	1
松	1
板	1
析	1
枕	1
林	1
枚	1
果	1
枝	1
枠	1
枢	1
枯	1
架	1
柄	1
某	1
染	1
柔	1
柱	1
柳	1
柵	1
査	1
柿	1
栃	1
栄	1
栓	1
校	1
株	1
核	1
根	1
格	1
栽	1
桁	1
桃	1
案	1
桑	1
桜	1
桟	1
梅	1
梗	1
梨	1
械	1
棄	1
棋	1
棒	1
棚	1
棟	1
森	1
棺	1
椅	1
植	1
椎	1
検	1
業	1
極	1
楷	1
楼	1
楽	1
概	1
構	1
様	1
槽	1
標	1
模	1
権	1
横	1
樹	1
橋	1
機	1
欄	1
欠	1
次	1
欧	1
欲	1
欺	1
款	1
歌	1
歓	1
止	1
正	1
武	1
歩	1
歯	1
歳	1
歴	1
死	1
殉	1
殊	1
残	1
殖	1
殴	1
段	1
殺	1
殻	1
殿	1
毀	1
母	1
毎	1
毒	1
比	1
毛	1
氏	1
民	1
気	1
水	1
氷	1
永	1
氾	1
汁	1
求	1
汎	1
汗	1
汚	1
江	1
池	1
汰	1
決	1
汽	1
沃	1
沈	1
沖	1
沙	1
没	1
沢	1
河	1
沸	1
油	1
治	1
沼	1
沿	1
況	1
泉	1
泊	1
泌	1
法	1
泡	1
波	1
泣	1
泥	1
注	1
泰	1
泳	1
洋	1
洗	1
洞	1
津	1
洪	1
活	1
派	1
流	1
浄	1
浅	1
浜	1
浦	1
浪	1
浮	1
浴	1
海	1
浸	1
消	1
涙	1
涯	1
液	1
涼	1
淑	1
淡	1
淫	1
深	1
混	1
添	1
清	1
渇	1
済	1
渉	1
渋	1
渓	1
減	1
渡	1
渦	1
温	1
測	1
港	1
湖	1
湧	1
湯	1
湾	1
湿	1
満	1
源	1
準	1
溝	1
溶	1
溺	1
滅	1
滋	1
滑	1
滝	1
滞	1
滴	1
漁	1
漂	1
漆	1
漏	1
演	1
漠	1
漢	1
漫	1
漬	1
漸	1
潔	1
潜	1
潟	1
潤	1
潮	1
潰	1
澄	1
激	1
濁	1
濃	1
濫	1
濯	1
瀬	1
火	1
灯	1
灰	1
災	1
炉	1
炊	1
炎	1
炭	1
点	1
為	1
烈	1
無	1
焦	1
然	1
焼	1
煎	1
煙	1
照	1
煩	1
煮	1
熊	1
熟	1
熱	1
燃	1
燥	1
爆	1
爪	1
爵	1
父	1
爽	1
片	1
版	1
牙	1
牛	1
牧	1
物	1
牲	1
特	1
犠	1
犬	1
犯	1
状	1
狂	1
狙	1
狩	1
独	1
狭	1
猛	1
猟	1
猫	1
献	1
猶	1
猿	1
獄	1
獣	1
獲	1
玄	1
率	1
玉	1
王	1
玩	1
珍	1
珠	1
班	1
現	1
球	1
理	1
琴	1
瑠	1
璃	1
璧	1
環	1
璽	1
瓦	1
瓶	1
甘	1
甚	1
生	1
産	1
用	1
田	1
由	1
甲	1
申	1
男	1
町	1
画	1
界	1
畏	1
畑	1
畔	1
